Id,Word,English,Pinyin,Example,Translation,Book,Lesson,Dialog,NW,PN,OofC
2399,空闲,"leisurely, free",kòng xián,我没有片刻的空闲。,I've no moment's leisure.,5,24,1,28,,
2400,指导,"to guide, to instruct",zhǐ dǎo,她有天分，但需要指导。,She has talent but she will need coaching.,5,24,1,29,,
2401,培训,to train,péi xùn,我们必须定期培训计算机操作员。,We have to train computer operators from time to time .,5,24,1,30,,
2402,建设,"to build, to construct",jiàn shè,我们要建设经济繁荣的国家。,We are going to Build an economically prosperous country.,5,24,1,31,,
2403,操心,"to worry about, to be concerned about",cāo xīn,没想到你还真操心呀。,I'm surprised you bothered.,5,24,1,32,,
2404,承担,"to undertake, to shoulder",chéng dān,这是我承担过的最艰巨的任务。,This is the most onerous task I have ever undertake.,5,24,1,33,,
2405,义务,"duty, obligation",yì wù,这是我必须履行的义务。,It is a duty that I must perform.,5,24,1,34,,
2406,艰巨,"arduous, formidable",jiān jù,他完成了一项艰巨的任务。,He accomplished a difficult task.,5,24,1,35,,
2407,力量,"strength, capability",lì liang,人人想办法，个个出力量。,Everybody contributes his ideas and his strength.,5,24,1,36,,
2408,收获,gain,shōu huò,不吃苦，无收获。,You must bear pain if you look for gain.,5,24,1,37,,
2409,抄,to copy,chāo,请把问题抄下来。,Please copy down the questions.,5,24,扩展,3,,
2410,试卷,test paper,shì juàn,你应仔细检查一下试卷然后再交。,You must check over your examination paper carefully before handing it in.,5,24,扩展,4,,
2411,夏令营,summer camp,xià lìng yíng,每年，他和朋友们都要去夏令营。,"Every year, he and his friends would go to summer camp.",5,24,扩展,5,,
2412,辅导,to tutor,fǔ dǎo,有些学校，聪明的学生辅导蠢笨的学生。,"In some schools, the bright pupils tutor the dull ones.",5,24,扩展,8,,
2413,退步,to regress,tuì bù,他思想退步了。,He has slipped back ideologically.,5,24,扩展,11,,
2414,改正,to correct,gǎi zhèng,我用涂改液改正错误。,I correct my mistake with white out.,5,24,扩展,12,,
2415,返航,to be on the homeward voyage,fǎn háng,,,5,25,1,1,,Outside HSK
2416,恶劣,"bad, vile",è liè,恶劣的天气妨碍了我们的计画。,The bad weather interfered with our plans.,5,25,1,2,,
2417,可怕,"terrible, dreadful",kě pà,我们遇到了一场可怕的风暴。,We saw a terrible storm.,5,25,1,3,,
2418,风浪,"storm, stormy waves",fēng làng,,,5,25,1,4,,Outside HSK
2419,慌张,"flurried, flustered",huāng zhāng,她慌张地走下楼梯。,She went helter-skelter down the stairs.,5,25,1,5,,
2420,舱,cabin,cāng,,,5,25,1,6,,HSK 6
2421,使劲儿,"to exert oneself, to make effort ",shǐ jìn r,把窗户使劲关上。,Slam the window (shut).,5,25,1,7,,
2422,朝,towards,cháo,我朝小妹眨了眨眼。,I winked at my little sister.,5,25,1,8,,
2423,简直,"simple, virtually",jiǎn zhí,这玩意儿简直好极了！,The gadget is simply marvelous !,5,25,1,9,,
2424,沉,to sink,chén,这艘船将沉入河中。,This ship will sink into the river.,5,25,1,10,,
2425,严肃,"serious, solemn",yán sù,他的表情总是严肃的，从来不笑。,He always looks serious and never laughs.,5,25,1,11,,
2426,猛烈,"strong, violent, fierce",měng liè,,,5,25,1,12,,HSK 6
2427,狂,"wildly, unrestrainedly",kuáng,他兴奋若狂。,He was widely excited.,5,25,1,13,,
2428,威胁,to threaten,wēi xié,他并没想要威胁你。,He didn't mean to threaten you.,5,25,1,14,,
2429,平衡,balanced,píng héng,她尽全力使身体保持平衡。,She tried her best to poise herself.,5,25,1,15,,
2430,吨,metric ton,dūn,我们可接受的最好价格是每吨1000美元。,The best price we can accept is us$1000 per ton.,5,25,1,16,,
2431,钢铁,steel,gāng tiě,钢铁的最高产量,a record production of steel,5,25,1,17,,
2432,根基,"basis, foundation",gēn jī,,,5,25,1,18,,Outside HSK
2433,重量,weight,zhòng liàng,这块钢板的重量是一吨。,The weight of this steel plate is one ton.,5,25,1,19,,
2434,相似,similar,xiāng sì,林中风声响动，和海水声极其相似。,The wind in the trees made a sound so much like the sea.,5,25,1,20,,
2435,风景,"scenery, view",fēng jǐng,这个地方风景很美。,This place has beautiful scenery.,5,25,1,21,,
2436,窄,narrow,zhǎi,这条河在过去的二十年变窄了许多。,The river has narrowed down a lot in the past two decades.,5,25,1,22,,
2437,万丈,"lofty, bottomless",wàn zhàng,,,5,25,1,23,,Outside HSK
2438,深渊,"abyss, bottomless pit",shēn yuān,,,5,25,1,24,,Outside HSK
2439,游览,"to visit, to tour",yóu lǎn,他游览了许多地方。,He visited many places.,5,25,1,25,,
2440,发抖,"to tremble, to shiver",fā dǒu,害怕地发抖,to tremble with fear,5,25,1,26,,
2441,负重,to bear a load or weight,,,,5,25,1,27,,Outside HSK
2442,摔倒,"to fall down, to tumble",shuāi dǎo,注意别摔倒了。,See to it that you do not fall.,5,25,1,28,,
2443,妇女,woman,fù nǚ,妇女几乎占村里全劳力的一半。,Women account for almost half of the total labour in the village.,5,25,1,29,,
2444,起,"case, instance",qǐ,那个月发生了几起火灾。,Several fires occurred that month.,5,25,1,30,,
2445,丝毫,"slightest, at all",sī háo,没有人产生丝毫的怀疑。,No one had the slightest suspicion;,5,25,1,31,,
2446,滚,"to roll, to tumble",gǔn,那人把一桶啤酒滚上了卡车。,The man rolled a bucket of beer onto the truck.,5,25,1,32,,
2447,风险,risk,fēng xiǎn,安装可靠的报警设备以减低被盗的风险。,"To minimize the risk of burglary, install a good alarm system.",5,25,1,33,,
2448,谨慎,"cautious, prudent",jǐn shèn,他花钱谨慎。,He is cautious about spend money.,5,25,1,34,,
2449,效应,effect,xiào yìng,,,5,25,1,35,,Outside HSK
2450,胸,"chest, bosom",xiōng,最好透视一下你的胸。,We'd better take an X-ray of your chest.,5,25,1,36,,
2451,承受,"to bear, to endure",chéng shòu,这冰的厚度足以承受你的重量。,The ice is thick enough to bear up under your weight,5,25,1,37,,
2452,和尚,monk (Buddhist),hé shang,,,5,25,1,38,,Outside HSK
2453,钟,bell,zhōng,钟发出了悠扬悦耳的声音。,"The bell gave forth a peasant, lingering sound.",5,25,1,39,,
2454,彻底,"thorough, complete",chè dǐ,彻底的搜查,a thorough search.,5,25,1,40,,
2455,厘米,centimeter,lí mǐ,厘米为计算长度的单位。,The dollar is the United States unit of currency.,5,25,扩展,1,,
2456,克,gram,kè,我们另外要收每克4美分的超重费。,We demand a surcharge of four cent per gram for the overweight.,5,25,扩展,2,,
2457,平方,squared,píng fāng,36是6的平方。,36 is the square of 6.,5,25,扩展,3,,
2458,吨,ton,dūn,我们可接受的最好价格是每吨1000美元。,The best price we can accept is $1000 per ton.,5,25,扩展,4,,
2459,尺子,ruler,chǐ zi,尺子是塑料做的。,This ruler is made of plastic.,5,25,扩展,5,,
2460,胶水,glue,jiāo shuǐ,从管里挤出胶水。,extrude glue from a tube,5,25,扩展,6,,
2461,忙碌,"busy, fully occupied",máng lù,,,5,26,1,1,,HSK 6
2462,被动,passive,bèi dòng,,,5,26,1,2,,HSK 6
2463,奴隶,slave,nú lì,,,5,26,1,3,,HSK 6
2464,虚伪,hypocritical,xū wěi,,,5,26,1,4,,HSK 6
2465,思想,"thought, thinking",sī xiǎng,消沉的思想妨碍进步。,Depressive thinking hinders progress.,5,26,1,5,,
2466,反省,"to reflect on oneself, to self examine",fǎn xǐng,,,5,26,1,6,,Outside HSK
2467,据说,"it is said, reputedly",jù shuō,据说他很有钱。,He is reputed to be very wealthy.,5,26,1,7,,
2468,个性,"individual character, personality",gè xìng,个性心理学,individual psychology,5,26,1,8,,
2469,冒险,"to venture, to have an adventure ",mào xiǎn,这是一个没多大把握的冒险事业。,It was a dubious enough venture.,5,26,1,9,,
2470,丛林,"jungle, forest",cóng lín,,,5,26,1,10,,Outside HSK
2471,文明,civilization,wén míng,文明起源于亚洲某地。,Civilization was cradled somewhere in Asia.,5,26,1,11,,
2472,记录,"record, note; to record, to note down",jì lù,他们叫我在会议上作记录。,I was told to keep the minutes at the conference.,5,26,1,12,,
2473,雇,"to employ, to hire",gù,我决定雇他是看重他的经验。,His experience weighed heavily in my decision to hire him.,5,26,1,13,,
2474,来,used after round numbers to indicate approximation,lái,,,5,26,1,14,,Outside HSK
2475,批,"group, batch",pī,他正在陪一批访问者参观。,He’s showing around a party of visitors.,5,26,1,15,,
2476,出色,"remarkable, outstanding",chū sè,出色的演出,remarkable performance,5,26,1,16,,
2477,健步如飞,to walk as if on wings,jiàn bù rú fēi,,,5,26,1,17,,Outside HSK
2478,一连,in a room in succession,yī lián,,,5,26,1,18,,Outside HSK
2479,耽误,"to delay, to spoil through delay",dān wu,我必须为此耽误道歉。,I must beg to apologize for the delay.,5,26,1,19,,
2480,至于,"as for, as to",zhì yú,至于钱，我有的是。,"As regards money, I have enough.",5,26,1,20,,
2481,投资,"to invest, to fund",tóu zī,我没有钱投资。,I have no money to invest.,5,26,1,21,,
2482,人物,"figure, personage",rén wù,他已成了一个知名人物。,He has become a figure known to everyone.,5,26,1,22,,
2483,得罪,"to offend, to displease",dé zui,,,5,26,1,23,,HSK 6
2484,总算,"at last, finally",zǒng suàn,我总算可以放松了。,I can relax myself at last.,5,26,1,24,,
2485,搞,to produce a certain effect or result (followed by a complement),gǎo,我想搞到两张音乐会的票。,I' d like to get hold of two tickets for the concert.,5,26,1,25,,
2486,习俗,"custom, convention",xí sú,,,5,26,1,26,,HSK 6
2487,灵魂,"soul, spirit",líng hún,,,5,26,1,27,,HSK 6
2488,疲劳,"tired, fatigued",pí láo,她显得很疲劳。,She appear very tired.,5,26,1,28,,
2489,哲理,philosophy,zhé lǐ,,,5,26,1,29,,Outside HSK
2490,提倡,"to advocate, to encourage ",tí chàng,他们提倡自由贸易。,They advocate free trade.,5,26,1,30,,
2491,步骤,"step, procedure",bù zhòu,在这一步骤中，我们指定人物角色类型。,We accomplish this through a process of designating persona types.,5,26,1,31,,
2492,闭关,to stay secluded (a Taoist practice),bì guān,,,5,26,1,32,,Outside HSK
2493,一律,"all, without exception",yī lǜ,车辆一律靠右走。,All vehicles should keep to the right.,5,26,1,33,,
2494,寂寞,lonely,jì mò,她感到没了孩子的寂寞。,She felt lonely without her child.,5,26,1,34,,
2495,效率,efficiency,xiào lǜ,我们的目标是取得最高的效率。,Our goal is to achieve the maximum of efficiency.,5,26,1,35,,
2496,演讲,speech,yǎn jiǎng,她的演讲录在录音带上。,Her speech was recorded on a tape.,5,26,扩展,8,,
2497,宴会,banquet,yàn huì,举行宴会,give [hold] a banquet,5,26,扩展,10,,
2498,嘉宾,distinguished guest,jiā bīn,陈主席、各位嘉宾： 你们好！,"Mr Chan, Ladies and Gentlemen, Good Evening,",5,26,扩展,11,,
2499,证件,ID,zhèng jiàn,伪造的证件。,a bogus certificate.,5,26,扩展,12,,
2500,名片,business card,míng piàn,我得记着带很多名片。,I will have to remember to bring a lot of business cards .,5,26,扩展,13,,
2501,嫁,to marry (a husband),jià,他要她嫁给他，但她拒绝了。,"He asked her to marry him, but she turned him down.",5,26,扩展,14,,
2502,娶,to marry (a wife),qǔ,想娶谁就娶谁！,Marry whom he pleased!,5,26,扩展,15,,
2503,分手,to break up,fēn shǒu,现在很多夫妻结婚没有多久就分手了。,"Today, many couples break up soon after they get married.",5,26,扩展,16,,
2504,怀孕,pregnant,huái yùn,你怀孕有多久了？,How far pregnant are you ?,5,26,扩展,17,,
2505,象棋,"(Chinese) chess, board game",xiàng qí,我爱好象棋。,I like Chinese chess.,5,27,1,1,,
2506,教练,"coach, instructor",jiào liàn,他尊重教练。,He showed deference to his coach.,5,27,1,2,,
2507,答应,"to agree, to promise",dā ying,一定要完成你所答应要做的事。,Finish what you agree to take on.,5,27,1,3,,
2508,损失,to lose,sǔn shī,在工人罢工期间损失了100万工时。,One million man hour is lose through industrial action.,5,27,1,4,,
2509,睁,to open (one’s eyes),zhēng,我简直睁不开眼睛了。,I can hardly keep my eyes open.,5,27,1,5,,
2510,眼睁睁,(looking on) helplessly or indifferently,yǎn zhēng zhēng,不要让机会眼睁睁地跑掉。,and not let chances slip through your fingers.,5,27,1,6,,
2511,将军,(military) general; (in chess) to put one’s king/general in check,jiāng jūn,,,5,27,1,7,,HSK 6
2512,服气,"to be convinced, to be won over",fú qì,,,5,27,1,8,,HSK 6
2513,运气,"luck, fortune",yùn qi,我们是否成功是碰运气的事。,It's a matter of luck whether we are successful.,5,27,1,9,,
2514,局,"game, set",jú,警察局的一艘巡逻艇招呼我们停下。,A police patrol boat hailed to us to come to.,5,27,1,10,,
2515,发挥,"to bring (one’s talent) into play, to give free rein to (one’s imagination)",fā huī,充分发挥想像力,give (free) rein to one's imagination,5,27,1,11,,
2516,灰心,discouraged,huī xīn,别灰心，再考一次。,Keep your chin up and take another test.,5,27,1,12,,
2517,吸取,"to absorb, to draw",xī qǔ,吸取历史经验，防止错误倾向。,Draw on historical experience to prevent erroneous tendencies.,5,27,1,13,,
2518,教训,"lesson, moral",jiào xun,那是一个惨痛的教训。,It was a cruel lesson.,5,27,1,14,,
2519,未必,"may not, not necessarily",wèi bì,他未必会来。,He is unlikely to come.,5,27,1,15,,
2520,次要,"less important, secondary",cì yào,除主要问题之外，还有些次要问题讨论。,"In addition to the main question, there are secondary matters to talk about.",5,27,1,16,,
2521,因素,factor,yīn sù,自信是任何成功之道的关键因素。,Self-confidence is the key factor in any successful career.,5,27,1,17,,
2522,在于,"to lie in, to consist in",zài yú,追根究底，失败的责任在于总工程师。,"Ultimately, the responsibility for failure lies with the chief engineer.",5,27,1,18,,
2523,心态,"psychology, mental attitude",xīn tài,,,5,27,1,19,,HSK 6
2524,珍惜,"to cherish, to treasure",zhēn xī,珍惜生命，拒绝毒品。,"Cherish life, say no to drugs.",5,27,1,20,,
2525,否认,"to deny, to disavow",fǒu rèn,他不否认事实。,He didn't deny the facts.,5,27,1,21,,
2526,观察,"to observe, to watch",guān chá,他是个观察力极差的人。,He is a man of little observation.,5,27,1,22,,
2527,失去,to lose,shī qù,失去机会。,lose an opportunity,5,27,1,23,,
2528,期间,"time, period",qī jiān,在战争期间常常发生粮食短缺的情形。,Food shortages often occur in time of war.,5,27,1,24,,
2529,把握,"assurance, confidence",bǎ wò,她劝说他把握时机,She advised that he should make hay while the sun shined,5,27,1,25,,
2530,不假思索,without thinking or hesitation,bù jiǎ sī suǒ,,,5,27,1,26,,Outside HSK
2531,犯,"to commit (an error, a crime, etc.)",fàn,有充分的理由相信被告没有犯这项罪行,There is reason to Believe that the accused did not commit this crime.,5,27,1,27,,
2532,过于,"too, excessively",guò yú,,,5,27,1,28,,HSK 6
2533,原则,"principle, tenet",yuán zé,别管是谁，一律按原则办事。,"No matter who it is, we'll act according to principle.",5,27,1,29,,
2534,责备,"to blame, to reproach",zé bèi,他无可责备。,No blame attaches to him.,5,27,1,30,,
2535,必然,"inevitable, certain",bì rán,但这并非是必然的。,But this is not inevitable.,5,27,1,31,,
2536,事先,"beforehand, in advance",shì xiān,事先把一切都准备好,have everything prepared beforehand,5,27,1,32,,
2537,舍不得,"to be unwilling to part with or give up, to grudge",shě bu de,不要舍不得用糖。,Don't stint the sugar.,5,27,1,33,,
2538,后果,"consequence, aftermath",hòu guǒ,严重的后果,a serious consequence,5,27,1,34,,
2539,屡,"repeatedly, time and agin",lǚ,,,5,27,1,35,,HSK 6
2540,夹子,clip,jiā zi,请用夹子把这些纸夹在一起。,"Fasten these sheets of paper together with a clip, please.",5,27,扩展,1,,
2541,叉子,fork,chā zi,不要用叉子切肉了。,Don't cut meat with a fork.,5,27,扩展,8,,
2542,盆,basin,pén,盆里全是吐的东西。,The basin was full of sick.,5,27,扩展,11,,
2543,届,"session, year, class",jiè,这届政府已执政两年。,The Government has been in power for two years.,5,28,1,1,,
2544,本科,undergraduate education ,běn kē,大学本科教育,undergraduate education,5,28,1,2,,
2545,面对,"to face, to confront",miàn duì,他鼓起勇气面对困难。,He nerved himself to face the difficulties.,5,28,1,3,,
2546,乐观,optimistic,lè guān,他生性乐观。,He was of an optimistic cast of mind.,5,28,1,4,,
2547,就业,to find employment,jiù yè,,,5,28,1,5,,HSK 6
2548,实话,"truth, true words",shí huà,他发誓要说实话。,He pledges to tell the truth.,5,28,1,6,,
2549,优势,"superiority, advantage",yōu shì,实力方面的优势,superiority in strength,5,28,1,7,,
2550,简历,resume,jiǎn lì,我建议你修订你的简历。,May / Might I suggest that you update your resume?,5,28,1,8,,
2551,现场,"site, spot",xiàn chǎng,,,5,28,1,9,,HSK 6
2552,职位,"position, post",zhí wèi,,,5,28,1,10,,HSK 6
2553,体验,to feel and experience,tǐ yàn,我们体验过艰苦生活。,We have experienced what hardships mean.,5,28,1,11,,
2554,从此,"from then on, since then",cóng cǐ,从此，我有了一个梦——看海。,"From that moment on, I had a dream - to see the sea.",5,28,1,12,,
2555,范围,"scope, range",fàn wéi,我想说的是，我们应该扩大业务范围。,"The point I'm trying to make is, we should enlarge our business scope.",5,28,1,13,,
2556,初级中学,junior high school,chū jí zhōng xué,你初中的校名是什么？,What was the name of your junior high school?,5,28,1,14,,
2557,顾问,"consultant, adviser",gù wèn,,,5,28,1,15,,HSK 6
2558,参考,"to consult, to refer to",cān kǎo,这本书仅供参考。,This book is for reference only.,5,28,1,16,,
2559,成长,to grow up,chéng zhǎng,玉米在这里不能成长。,"Corn doesn't grow here; In these forests, mushrooms grow under the trees.",5,28,1,17,,
2560,制作,"to make, to produce",zhì zuò,制作被子,To make a quilt.,5,28,1,18,,
2561,才艺,talent and skill,cái yì,,,5,28,1,19,,Outside HSK
2562,假设,"to suppose, to assume",jiǎ shè,假设我们在一艘撞到冰山的船上。,Suppose we're on a ship that hits an iceberg .,5,28,1,20,,
2563,乘,"to ride, to travel by",chéng,他乘飞机从广州飞往哈尔滨。,He is flying up to Harbin from Guangzhou.,5,28,1,21,,HSK 6
2564,反应,"to respond, to react",fǎn yìng,我给你两分钟的时间做出反应。,I give you two minutes to respond.,5,28,1,22,,
2565,到达,"to reach, to arrive",dào dá,那地方容易到达。,The place is easy to reach.,5,28,1,23,,
2566,老板,"boss, employer",lǎo bǎn,约翰因偷懒被老板骂了一顿。,John's boss bawled him out for his being lazy.,5,28,1,24,,
2567,陆续,"one after another, in succession",lù xù,客人正在陆续到达。,The guests were arriving.,5,28,1,25,,
2568,提问,to ask a question,tí wèn,玛丽主动回答老师的提问。,Mary volunteered to answer the teacher's question.,5,28,1,26,,
2569,堆,"heap, pack, pile",duī,园丁开始把落叶堆起来。,The gardener began to heap up the fallen leaves.,5,28,1,27,,
2570,情侣,"couple, lovers",qíng lǚ,,,5,28,1,28,,Outside HSK
2571,制订,"to make, to draw up, to work out",zhì dìng,,,5,28,1,29,,HSK 6
2572,休闲,"to have leisure, to relax",xiū xián,在空余时间，人们有许多休闲活动。,"In spare time, people have many leisure activities.",5,28,1,30,,
2573,具体,"specific, detailed",jù tǐ,那件事我找不出具体原因来。,I can't point to any one particular reason for it.,5,28,1,31,,
2574,专注,"concentrated, engrossed",zhuān zhù,,,5,28,1,32,,Outside HSK
2575,显然,"obvious, evident",xiǎn rán,显然你错了。,It is obvious that you are wrong.,5,28,1,33,,
2576,成立,"to establish, to set up",chéng lì,上星期我们成立了一个业余学习小组。,We establish a spare time study group last week.,5,28,1,34,,
2577,部门,"department, section",bù mén,这个研究所划归省文化部门领导。,The institute was placed under the cultural department of the province.,5,28,1,35,,
2578,执着,"persistent, perservering",zhí zhuó,,,5,28,1,36,,Outside HSK
2579,光明,"bright, promising",guāng míng,我们前途光明。,A bright future lies before us.,5,28,1,37,,
2580,前途,"future, prospect",qián tú,前途看来充满希望。,The future seems to be full of hope.,5,28,1,38,,
2581,行业,"trade, profession, industry",háng yè,在服装贸易行业她很有名气。,She be very well know in the clothing trade .,5,28,1,39,,
2582,模特,model,mó tè,这位模特儿具有高贵气质。,This model has a noble manner.,5,28,扩展,1,,
2583,会计,accounting,kuài jì,你能帮我找个好的会计师吗？,Could you put me on to a good accountant?,5,28,扩展,2,,
2584,秘书,secretary,mì shū,那女孩兼做秘书和招待员。,The girl doubled as secretary and receptionist.,5,28,扩展,3,,
2585,人事,human resources,rén shì,人事关系及管理,human relations and management,5,28,扩展,8,,
2586,报到,to report,bào dào,新生应向办公室报到。,New students should report to the administrative office.,5,28,扩展,9,,
2587,失业,unemployment,shī yè,失业补偿,unemployment compensation,5,28,扩展,10,,
2588,兼职,part-time job,jiān zhí,我要去参加兼职工作的面试。,"I have an interview for a part-time job,",5,28,扩展,13,,
2589,培养,"to foster, to train",péi yǎng,我们应培养自学能力。,We should foster our abilities to study independently.,5,29,1,1,,
2590,对手,"opponent, rival",duì shǒu,千万不要低估对手。,"Never underestimate your opponent, ie think that you will beat him easily.",5,29,1,2,,
2591,公寓,"apartment, flat",gōng yù,无人承租的公寓,a tenantless apartment,5,29,1,3,,
2592,文具,stationery,wén jù,总公司要求送一些文具去。,The head office sent down for some stationery.,5,29,1,4,,
2593,电池,"battery, cell",diàn chí,未充电的电池,an uncharged battery,5,29,1,5,,
2594,日用品,"articles of everyday use, daily necessities",rì yòng pǐn,这是一家日用品家具商店。,This is a furniture store for daily necessities.,5,29,1,6,,
2595,利润,profit,lì rùn,布朗先生净赚了一大笔利润。,Mr. Brown cleared a huge profit.,5,29,1,7,,
2596,诚信,"honest, in good faith",chéng xìn,,,5,29,1,8,,Outside HSK
2597,媒体,"media, mass media",méi tǐ,利用新闻媒体左右舆论,Use news media to mould public opinion,5,29,1,9,,
2598,对象,"target, object",duì xiàng,这书会成为严格批评的对象。,This book will be the target of bitter criticism.,5,29,1,10,,
2599,营业,"to do business, to operate",yíng yè,美国绝大多数商店每周营业五天。,Most of American businesses are open five days a week.,5,29,1,11,,
2600,额,"specified number, sum, volume or amount",é,,,5,29,1,12,,HSK 6
2601,不如,"to be not as good as, to be inferior to",bù rú,我现在的听力不如过去好。,I am not hearing as well as I used to.,5,29,1,13,,
2602,干脆,"simply, just",gān cuì,我真想不明白，她干吗不干脆辞职。,I really don't understand why she should not just resign.,5,29,1,14,,
2603,挤,"to squeeze out, to push out",jǐ,请各位再挤紧一点。,Squeeze yourselves a little.,5,29,1,15,,
2604,垮,"to collapse, to break down",kuǎ,,,5,29,1,16,,Outside HSK
2605,垄断,monopolize,lǒng duàn,,,5,29,1,17,,HSK 6
2606,倒闭,"to close down, to go bankrupt",dǎo bì,,,5,29,1,18,,HSK 6
2607,热心,"enthusiastic, earnest",rè xīn,他热心工作。,He is zealous in his work.,5,29,1,19,,
2608,资金,"capital, fund",zī jīn,不得挪用基本建设资金。,The fund earmarked for capital construction is not to be diverted to any other purpose.,5,29,1,20,,
2609,傻,"stupid, foolish",shǎ,我真傻。,It was stupid of me.,5,29,1,21,,
2610,倒霉,"having bad luck, unlucky",dǎo méi,昨天我真倒霉。,It just wasn't my day yesterday.,5,29,1,22,,
2611,生态,ecology,shēng tài,,,5,29,1,23,,HSK 6
2612,商业,"business, commerce",shāng yè,战后商业相当不景气。,Business was rather depressed after war.,5,29,1,24,,
2613,领域,"field, domain, realm",lǐng yù,他在这领域有丰富的经验。,He has a wealth of experience in this area.,5,29,1,25,,
2614,适当,"proper, adequate",shì dàng,,,5,29,1,26,,Outside HSK
2615,促使,"to urge, to spur, to prompt",cù shǐ,这消息促使他们起而采取行动。,The news galvanized them into action.,5,29,1,27,,
2616,生长,to grow,shēng zhǎng,那些植物只能在深水中生长。,Those plants can grow only in deep waters.,5,29,1,28,,
2617,妨碍,"to hinder, to impede",fáng ài,你妨碍了我的工作。,You hinder my work.,5,29,1,29,,
2618,促进,"to promote, to accelerate ",cù jìn,交流促进发展。,Exchange promotes development.,5,29,1,30,,
2619,利益,"benefit, interest",lì yì,我要为全人类的利益而工作。,I will work for the benefit of all mankind.,5,29,1,31,,
2620,合理,reasonable ,hé lǐ,他们的要求不合理。,Their demands are beyond all reason.,5,29,1,32,,
2621,万一,"in case, if by any chance",wàn yī,万一起火，请按铃。,In case of fire ring the bell.,5,29,1,33,,
2622,维持,"to keep, to maintain",wéi chí,,,5,29,1,34,,HSK 6
2623,饱和,"to be saturated, to be filled to capacity",bǎo hé,,,5,29,1,35,,HSK 6
2624,不见得,"not necessarily, may not",bù jiàn de,人生中，不见得每件事情都顺利。,Things in life will not always run smoothly.,5,29,1,36,,
2625,发票,invoice,fā piào,增值税发票,VAT invoice,5,29,扩展,1,,
2626,收据,receipt,shōu jù,我有这台计算机的收据。,I've got a receipt for the computer.,5,29,扩展,2,,
2627,支票,check,zhī piào,我能用支票或信用卡吗？,Can I pay by check or credit card?,5,29,扩展,3,,
2628,欠,owe,qiàn,你欠我的钱必须还清。,You must pay up what you owe me.,5,29,扩展,4,,
2629,税,tax,shuì,个人用品我得付税吗？,Do I have to pay duty on things for my own use?,5,29,扩展,5,,
2630,执照,license,zhí zhào,这张执照不再有效。,This license is no longer valid.,5,29,扩展,7,,
2631,柜台,counter,guì tái,他把钱放在柜台上。,He put the money on the counter.,5,29,扩展,8,,
2632,商品,commodity,shāng pǐn,这种商品很畅销。,This commodity sells well.,5,29,扩展,9,,
2633,优惠,discount,yōu huì,我可以给你9折优惠。,I can give you a 10% discount.,5,29,扩展,10,,
2634,讨价还价,to bargain,tǎo jià huán jià,她讨厌讨价还价。,She hates to bargain.,5,29,扩展,11,,
2635,兑换,to exchange,duì huàn,兑换外汇。,convert foreign exchange,5,29,扩展,12,,
2636,分配,to distribute,fēn pèi,这三个人根据各自的能力被分配了工作。,The three men were assigned jobs according to their abilities.,5,29,扩展,14,,
2637,沙丁鱼,sardine,shā dīng yú,,,5,30,1,1,,Outside HSK
2638,运输,"to transport, to convey",yùn shū,在运输系统中，铁路的重要性逐渐下降。,The role of the railways declined in the transport system.,5,30,1,2,,
2639,岸,"bank (of a river, lake, etc), shore, coast",àn,他不得不游上了岸。,He had to swim to the shore.,5,30,1,3,,
2640,商品,"goods, commidity",shāng pǐn,这家商店经营电气商品。,This shop deals in electrical goods.,5,30,1,4,,
2641,延长,"to prolong, to lengthen",yán cháng,延长有效期。,prolong the period of validity,5,30,1,5,,
2642,存活,"to survive, to exist",cún huó,,,5,30,1,6,,Outside HSK
2643,改善,"to improve, to make something better",gǎi shàn,我们应改善人民生活。,We should improve the living conditions of the people.,5,30,1,7,,
2644,无意,"accidentally, inadvertently ",wú yì,,,5,30,1,8,,Outside HSK
2645,巧妙,"ingenious, clever",qiǎo miào,一个巧妙的计划,an ingenious scheme,5,30,1,9,,
2646,实用,practical,shí yòng,他们的研究项目实用价值很有限。,Their research project has limited practical utility.,5,30,1,10,,
2647,天敌,natural enemy,tiān dí,,,5,30,1,11,,Outside HSK
2648,鲇鱼,catfish,,,,5,30,1,12,,Outside HSK
2649,设备,"(referring to a container in this text) equipment, device",shè bèi,这套设备可投入运转了吗？,Is the equipment operational yet ?,5,30,1,13,,
2650,和平,peaceful,hé píng,鸽子象征和平。,Pigeons symbolize peace.,5,30,1,14,,
2651,构成,"to compose, to form, to pose",gòu chéng,心肌是构成心脏的肌肉。,Cardiac muscle is the muscle out of which the heart is made.,5,30,1,15,,
2652,逃避,"to escape, to evade",táo bì,他是在逃避一切负担和实际问题。,He is evading all burdens and practical problems.,5,30,1,16,,
2653,不断,"continuously, unceasingly",bù duàn,卫生事业不断发展。,Public health developed continuously.,5,30,1,17,,
2654,旺盛,"exuberant, vibrant",wàng shèng,,,5,30,1,18,,Outside HSK
2655,比例,"proportion, scale",bǐ lì,进出口的比例令政府担忧。,The proportion of imports and exports worries the government.,5,30,1,19,,
2656,感想,"impressions, thoughts",gǎn xiǎng,你对此事有何感想？,What are your feelings about this matter?,5,30,1,20,,
2657,体会,"feeling, understanding",tǐ huì,我们都谈了心得体会。,We all talked about our experience.,5,30,1,21,,
2658,概念,"concept, notion",gài niàn,我对美式料理一点概念也没有。,I don't know anything about American food.,5,30,1,22,,
