Id,Traditional,Simplified,English,HSK,HSK 5（二）词语搭配,Img,Txt,Pinyin,Explanation,Example,Example Explanation,Translation,Book,Lesson,Dialog,NW,PN,OofC,Alternative,Grammar Reference,Song Lyrics,Song YouTube,Song Pinyin,Song Translation,Example Pinyin,Length,Character Phrase,Instagram Image Created
2575,顯然,显然,"obvious, evident",5,,FALSE,FALSE,xiǎn rán,显然，就是明显。,显然你错了。,也就是说，很明显你错了。,It is obvious that you are wrong.,5,28,1,33,,,,,,,,,xiǎnrán nǐ cuò le,2,,
2576,成立,成立,"to establish, to set up",5,,FALSE,FALSE,chéng lì,成立，就是建立。,上星期我们成立了一个业余学习小组。,也就是说，上周我们成立了一个业余学习小组。,We establish a spare time study group last week.,5,28,1,34,,,,,,,,,shàngxīngqī wǒmen chénglì le yī gè yèyú xuéxí xiǎozǔ,2,,
2577,部門,部门,"department, section",5,,FALSE,FALSE,bù mén,部门，就是部门、科。,这个研究所划归省文化部门领导。,也就是说，该研究所隶属于该省文化厅。,The institute was placed under the cultural department of the province.,5,28,1,35,,,,,,,,,zhège yánjiūsuǒ huàguī shěng wénhuà bùmén lǐngdǎo,2,,
2578,執著,执着,"persistent, perservering",outside,,FALSE,FALSE,zhí zhuó,,,,,5,28,1,36,,Outside HSK,,,,,,,,2,,
2579,光明,光明,"bright, promising",5,,FALSE,FALSE,guāng míng,光明，就是充满希望。,我们前途光明。,也就是说，光明的未来就在我们面前。,A bright future lies before us.,5,28,1,37,,,,,,,,,wǒmen qiántú guāngmíng,2,,
2580,前途,前途,"future, prospect",5,,FALSE,FALSE,qián tú,前途，就是未来，展望。,前途看来充满希望。,也就是说，未来似乎充满了希望。,The future seems to be full of hope.,5,28,1,38,,,,,,,,,qiántú kànlai chōngmǎn xīwàng,2,,
2581,行業,行业,"trade, profession, industry",5,,FALSE,FALSE,háng yè,行业，就是贸易、专业、工业。,在服装贸易行业她很有名气。,也就是说，她在服装行业很有名气。,She be very well know in the clothing trade .,5,28,1,39,,,,,,,,,zài fúzhuāng màoyì hángyè tā hěn yǒumíng qì,2,,
2582,模特,模特,model,5,,FALSE,FALSE,mó tè,模特，就是模型。,这位模特儿具有高贵气质。,也就是说，这个模特举止高贵。,This model has a noble manner.,5,28,扩展,1,,,,,像无数生存在橱窗里的模特,https://youtu.be/LbuuTeGGwnY?t=56,xiàng wúshù shēng cúnzài chúchuāng lǐ de mótè ,Like countless models living in the window,zhèwèi mótèr jùyǒu gāoguì qìzhì,2,,
2583,會計,会计,accounting,5,,FALSE,FALSE,kuài jì,会计，就是 accounting。,你能帮我找个好的会计师吗？,也就是问，你能让我找个好会计吗？,Could you put me on to a good accountant?,5,28,扩展,2,,,,,,,,,nǐ néng bāng wǒ zhǎo gè hǎo de kuàijìshī ma,2,,
2584,秘書,秘书,secretary,5,,FALSE,FALSE,mì shū,秘书，就是 secretary。,那女孩兼做秘书和招待员。,也就是说，那个女孩兼任秘书和接待员。,The girl doubled as secretary and receptionist.,5,28,扩展,3,,,,,,,,,nà nǚhái jiān zuò mìshū hé zhāodàiyuán,2,,
2585,人事,人事,human resources,5,,FALSE,FALSE,rén shì,人事，就是人力资源。,人事关系及管理,也就是“人际关系与管理”。,human relations and management,5,28,扩展,8,,,,,,,,,rénshì guānxi jí guǎnlǐ,2,,
2586,報到,报到,to report,5,,FALSE,FALSE,bào dào,报到，就是报告。,新生应向办公室报到。,也就是说，新生应向行政办公室报到。,New students should report to the administrative office.,5,28,扩展,9,,,,,,,,,xīnshēng yīng xiàng bàngōngshì bàodào,2,,
2587,失業,失业,unemployment,5,,FALSE,FALSE,shī yè,失业，就是 unemployment。,失业补偿,也就是“失业补偿金”。,unemployment compensation,5,28,扩展,10,,,,,,,,,shīyè bǔcháng,2,,
2588,兼職,兼职,part-time job,5,,FALSE,FALSE,jiān zhí,兼职，就是 part-time job。,我要去参加兼职工作的面试。,也就是“我有个兼职面试。”,"I have an interview for a part-time job,",5,28,扩展,13,,,,,,,,,wǒ yào qù cānjiā jiānzhí gōngzuò de miànshì,2,,
2589,培養,培养,"to foster, to train",5,29,FALSE,FALSE,péi yǎng,培养，就是训练。,我们应培养自学能力。,也就是说，我们应该培养独立学习的能力。,We should foster our abilities to study independently.,5,29,1,1,,,,,,,,,wǒmen yīng péiyǎng zìxué nénglì,2,,
2590,對手,对手,"opponent, rival",5,,FALSE,FALSE,duì shǒu,对手，就是 opponent。,千万不要低估对手。,也就是“不要低估你的对手。”,"Never underestimate your opponent, ie think that you will beat him easily.",5,29,1,2,,,,,,,,,qiānwàn bùyào dīgū duìshǒu,2,,
2591,公寓,公寓,"apartment, flat",5,29,FALSE,FALSE,gōng yù,公寓，就是 apartment。,无人承租的公寓,也就是“一套无租公寓”。,a tenantless apartment,5,29,1,3,,,,,,,,,wúrén chéngzū de gōngyù,2,,
2592,文具,文具,stationery,5,,FALSE,FALSE,wén jù,文具，就是信纸。,总公司要求送一些文具去。,也就是说，总部派人去拿文具。,The head office sent down for some stationery.,5,29,1,4,,,,,,,,,zǒnggōngsī yāoqiú sòng yīxiē wénjù qù,2,,
2593,電池,电池,"battery, cell",5,29,FALSE,FALSE,diàn chí,电池，就是 battery。,未充电的电池,也就是“不带电的电池”。,an uncharged battery,5,29,1,5,,,,,,,,,wèi chōngdiàn de diànchí,2,,
2594,日用品,日用品,"articles of everyday use, daily necessities",5,,FALSE,FALSE,rì yòng pǐn,日用品，就是日用品、日用品。,这是一家日用品家具商店。,也就是说，这是一家日用品家具店。,This is a furniture store for daily necessities.,5,29,1,6,,,,,,,,,zhè shì yījiā rìyòngpǐn jiājù shāngdiàn,3,,Yes
2595,利潤,利润,profit,5,,FALSE,FALSE,lì rùn,利润，就是 profit。,布朗先生净赚了一大笔利润。,也就是说，布朗先生赚了一大笔钱。,Mr. Brown cleared a huge profit.,5,29,1,7,,,,,,,,,Bùlǎng xiānsheng jìng zhuàn le yī dà bǐ lìrùn,2,,
2596,誠信,诚信,"honest, in good faith",outside,,FALSE,FALSE,chéng xìn,,,,,5,29,1,8,,Outside HSK,,,,,,,,2,,
2597,媒體,媒体,"media, mass media",5,,TRUE,TRUE,méi tǐ,媒体，就是 media。,利用新闻媒体左右舆论,"就是说利用报纸、电视新闻等等。
用这些去影响大众的想法。",Use news media to mould public opinion,5,29,1,9,,,,,,,,,lìyòng xīnwénméitǐ zuǒyòu yúlùn,2,,
2598,對象,对象,"target, object",5,,FALSE,FALSE,duì xiàng,对象，就是目标，对象。,这书会成为严格批评的对象。,也就是说，这本书将成为严厉批评的对象。,This book will be the target of bitter criticism.,5,29,1,10,,,,,,,,,zhè shūhuì chéngwéi yángé pīpíng de duìxiàng,2,,
2599,營業,营业,"to do business, to operate",5,,FALSE,FALSE,yíng yè,营业，就是做生意，经营。,美国绝大多数商店每周营业五天。,也就是说，大多数美国企业每周营业五天。,Most of American businesses are open five days a week.,5,29,1,11,,,,,,,,,Měiguó juédàduōshù shāngdiàn měizhōu yíngyè wǔ tiān,2,,
2600,額,额,"specified number, sum, volume or amount",6,,FALSE,FALSE,é,,,,,5,29,1,12,,HSK 6,,,,,,,,1,,
2601,不如,不如,"to be not as good as, to be inferior to",5,,TRUE,TRUE,bù rú,不如，就是 to be not as good as。,我现在的听力不如过去好。,也就是说，我的听力不如以前。,I am not hearing as well as I used to.,5,29,1,13,,,,,,,,,wǒ xiànzài de tīnglì bùrú guòqu hǎo,2,,
2602,乾脆,干脆,"simply, just",5,,FALSE,FALSE,gān cuì,干脆，就是简单地说，只是。,我真想不明白，她干吗不干脆辞职。,也就是说，我真的不明白她为什么不辞职。,I really don't understand why she should not just resign.,5,29,1,14,,,,,,,,,wǒ zhēn xiǎng bù míngbai tā gànmá bù gāncuì cízhí,2,,Yes
2603,擠,挤,"to squeeze out, to push out",5,,FALSE,FALSE,jǐ,挤，就是挤出，推出。,请各位再挤紧一点。,也就是说，挤一点。,Squeeze yourselves a little.,5,29,1,15,,,,,,,,,qǐng gèwèi zài jǐjǐn yīdiǎn,1,,
2604,垮,垮,"to collapse, to break down",outside,,FALSE,FALSE,kuǎ,,,,,5,29,1,16,,Outside HSK,,,,,,,,1,,
2605,壟斷,垄断,monopolize,6,,FALSE,FALSE,lǒng duàn,,,,,5,29,1,17,,HSK 6,,,,,,,,2,,
2606,倒閉,倒闭,"to close down, to go bankrupt",6,,FALSE,FALSE,dǎo bì,,,,,5,29,1,18,,HSK 6,,,,,,,,2,,
2607,熱心,热心,"enthusiastic, earnest",5,,TRUE,TRUE,rè xīn,热心，就是热情、认真。,他热心工作。,也就是说，他工作热情。,He is zealous in his work.,5,29,1,19,,,,,,,,,tā rèxīn gōngzuò,2,,
2608,資金,资金,"capital, fund",5,29,FALSE,FALSE,zī jīn,资金，就是资本、基金。,不得挪用基本建设资金。,也就是说，基本建设专项资金不得挪作他用。,The fund earmarked for capital construction is not to be diverted to any other purpose.,5,29,1,20,,,,,,,,,bùdé nuóyòng jīběn jiànshè zījīn,2,,
2609,傻,傻,"stupid, foolish",5,,FALSE,FALSE,shǎ,傻，就是愚蠢。,我真傻。,It was stupid of me.,It was stupid of me.,5,29,1,21,,,,,,,,,wǒ zhēn shǎ,1,,
2610,倒霉,倒霉,"having bad luck, unlucky",5,,FALSE,FALSE,dǎo méi,倒霉，就是运气不好，不走运。,昨天我真倒霉。,也就是说，昨天不是我的日子。,It just wasn't my day yesterday.,5,29,1,22,,,,,,,,,zuótiān wǒ zhēn dǎoméi,2,,
2611,生態,生态,ecology,6,,FALSE,FALSE,shēng tài,,,,,5,29,1,23,,HSK 6,,,,,,,,2,,
2612,商業,商业,"business, commerce",5,,FALSE,FALSE,shāng yè,商业，就是商业、商业。,战后商业相当不景气。,也就是说，战后生意相当萧条。,Business was rather depressed after war.,5,29,1,24,,,,,,,,,zhànhòu shāngyè xiāngdāng bùjǐngqì,2,,
2613,領域,领域,"field, domain, realm",5,,FALSE,FALSE,lǐng yù,领域，就是 field。,他在这领域有丰富的经验。,也就是说，他在这方面有丰富的经验。,He has a wealth of experience in this area.,5,29,1,25,,,,,,,,,tā zài zhè lǐngyù yǒu fēngfù de jīngyàn,2,,
2614,適當,适当,"proper, adequate",outside,,FALSE,FALSE,shì dàng,,,,,5,29,1,26,,Outside HSK,,,,,,,,2,,
2615,促使,促使,"to urge, to spur, to prompt",5,29,FALSE,FALSE,cù shǐ,促使，就是催促、刺激、提示。,这消息促使他们起而采取行动。,也就是说，这消息促使他们采取行动。,The news galvanized them into action.,5,29,1,27,,,,,,,,,zhè xiāoxi cùshǐ tāmen qǐ ér cǎiqǔxíngdòng,2,,
2616,生長,生长,to grow,5,,FALSE,FALSE,shēng zhǎng,生长，就是成长。,那些植物只能在深水中生长。,也就是说，这些植物只能在深水中生长。,Those plants can grow only in deep waters.,5,29,1,28,,,,,,,,,nàxiē zhíwù zhǐnéng zài shēn shuǐ zhōng shēngzhǎng,2,,
2617,妨礙,妨碍,"to hinder, to impede",5,29,FALSE,FALSE,fáng ài,妨碍，就是阻碍。,你妨碍了我的工作。,You hinder my work.,You hinder my work.,5,29,1,29,,,,,,,,,nǐ fáng'ài le wǒ de gōngzuò,2,,
2618,促進,促进,"to promote, to accelerate ",5,29,FALSE,FALSE,cù jìn,促进，就是加速。,交流促进发展。,Exchange promotes development.,Exchange promotes development.,5,29,1,30,,,,,,,,,jiāoliú cùjìn fāzhǎn,2,,
2619,利益,利益,"benefit, interest",5,,FALSE,FALSE,lì yì,利益，就是 benefit。,我要为全人类的利益而工作。,也就是说，我将为全人类的利益而工作。,I will work for the benefit of all mankind.,5,29,1,31,,,,,,,,,wǒ yào wéi quán rénlèi de lìyì ér gōngzuò,2,,Yes
2620,合理,合理,reasonable ,5,29,TRUE,TRUE,hé lǐ,合理，就是符合正常的道理。,他们的要求不合理。,也就是说，他们的要求不符合情理。,Their demands are beyond all reason.,5,29,1,32,,,,,,,,,tāmen de yāoqiú bùhélǐ,2,,
2621,萬一,万一,"in case, if by any chance",5,,FALSE,FALSE,wàn yī,万一，就是万一有机会的话。,万一起火，请按铃。,也就是说，如果发生火灾，请按铃。,In case of fire ring the bell.,5,29,1,33,,,,,,,,,wànyī qǐhuǒ qǐng àn líng,2,,
2622,維持,维持,"to keep, to maintain",6,,FALSE,FALSE,wéi chí,,,,,5,29,1,34,,HSK 6,,,,,,,,2,,
2623,飽和,饱和,"to be saturated, to be filled to capacity",6,,FALSE,FALSE,bǎo hé,,,,,5,29,1,35,,HSK 6,,,,,,,,2,,
2624,不見得,不见得,"not necessarily, may not",5,,TRUE,TRUE,bù jiàn de,不见得，就是不一定，可能不会。,人生中，不见得每件事情都顺利。,也就是说，生活中的事情并不总是一帆风顺的。,Things in life will not always run smoothly.,5,29,1,36,,,,,,,,,rénshēng zhōng bùjiànde měi jiàn shìqing dōu shùnlì,3,,
2625,發票,发票,invoice,5,,TRUE,TRUE,fā piào,发票，就是 invoice。,增值税发票,VAT invoice,VAT invoice,5,29,扩展,1,,,,,,,,,zēngzhíshuì fāpiào yìnzhāng,2,,
2626,收據,收据,receipt,5,,FALSE,FALSE,shōu jù,收据，就是 receipt。,我有这台计算机的收据。,也就是说，我有电脑收据。,I've got a receipt for the computer.,5,29,扩展,2,,,,,,,,,wǒ yǒu zhè tái jìsuànjī de shōujù,2,,
2627,支票,支票,check,5,,FALSE,FALSE,zhī piào,支票，就是检查。,我能用支票或信用卡吗？,也就是问，我可以用支票或信用卡支付吗？,Can I pay by check or credit card?,5,29,扩展,3,,,,,,,,,wǒ néng yòng zhīpiào huò xìnyòngkǎ ma,2,,
2628,欠,欠,owe,5,,FALSE,FALSE,qiàn,欠，就是 owe。,你欠我的钱必须还清。,也就是说，你必须偿还你欠我的钱。,You must pay up what you owe me.,5,29,扩展,4,,,,,,,,,nǐ qiàn wǒ de qián bìxū huánqīng,1,,
2629,稅,税,tax,5,,FALSE,FALSE,shuì,税，就是 tax。,个人用品我得付税吗？,也就是问，我自己用的东西需要交税吗？,Do I have to pay duty on things for my own use?,5,29,扩展,5,,,,,,,,,gèrén yòngpǐn wǒ dé fù shuì ma,1,,
2630,執照,执照,license,5,,FALSE,FALSE,zhí zhào,执照，就是许可证。,这张执照不再有效。,也就是说，此许可证不再有效。,This license is no longer valid.,5,29,扩展,7,,,,,,,,,zhè zhāng zhízhào bùzài yǒuxiào,2,,
2631,櫃台,柜台,counter,5,,FALSE,FALSE,guì tái,柜台，就是 counter。,他把钱放在柜台上。,He put the money on the counter.,He put the money on the counter.,5,29,扩展,8,,,,,,,,,tā bǎ qián fàng zài guìtái shàng,2,,Yes
2632,商品,商品,commodity,5,,FALSE,FALSE,shāng pǐn,商品，就是 commodity。,这种商品很畅销。,This commodity sells well.,This commodity sells well.,5,29,扩展,9,,,,,,,,,zhèzhǒng shāngpǐn hěn chàngxiāo,2,,Yes
2633,優惠,优惠,discount,5,,FALSE,FALSE,yōu huì,优惠，就是折扣。,我可以给你9折优惠。,也就是说，我可以给你10%的折扣。,I can give you a 10% discount.,5,29,扩展,10,,,,,,,,,wǒ kěyǐ gěi nǐ9 zhé yōuhuì,2,,
2634,討價還價,讨价还价,to bargain,5,,FALSE,FALSE,tǎo jià huán jià,讨价还价，就是 to bargain。,她讨厌讨价还价。,She hates to bargain.,She hates to bargain.,5,29,扩展,11,,,,,,,,,tā tǎoyàn tǎojiàhuánjià,4,,
2635,兌換,兑换,to exchange,5,,FALSE,FALSE,duì huàn,兑换，就是交换。,兑换外汇。,,convert foreign exchange,5,29,扩展,12,,,,,,,,,duìhuàn wàihuì,2,,
2636,分配,分配,to distribute,5,,FALSE,FALSE,fēn pèi,分配，就是分发。,这三个人根据各自的能力被分配了工作。,也就是说，这三个人根据能力分配了工作。,The three men were assigned jobs according to their abilities.,5,29,扩展,14,,,,,,,,,zhè sān gèrén gēnjù gèzì de nénglì bèi fēnpèi le gōngzuò,2,,Yes
2637,沙丁魚,沙丁鱼,sardine,outside,,FALSE,FALSE,shā dīng yú,,,,,5,30,1,1,,Outside HSK,,,,,,,,3,,
2638,運輸,运输,"to transport, to convey",5,,FALSE,FALSE,yùn shū,运输，就是运送。,在运输系统中，铁路的重要性逐渐下降。,也就是说，铁路在运输系统中的作用逐渐减弱。,The role of the railways declined in the transport system.,5,30,1,2,,,,,,,,,zài yùnshū xìtǒng zhōng tiělù de zhòngyàoxìng zhújiàn xiàjiàng,2,,
2639,岸,岸,"bank (of a river, lake, etc), shore, coast",5,,FALSE,FALSE,àn,岸，就是岸、岸、岸。,他不得不游上了岸。,也就是说，他不得不游到岸边。,He had to swim to the shore.,5,30,1,3,,,,,,,,,tā bùdébù yóu shàng le àn,1,,
2640,商品,商品,"goods, commidity",5,,FALSE,FALSE,shāng pǐn,商品，就是货物、佣金。,这家商店经营电气商品。,也就是说，这家商店经营电器产品。,This shop deals in electrical goods.,5,30,1,4,,,,,,,,,zhè jiā shāngdiàn jīngyíng diànqì shāngpǐn,2,,
2641,延長,延长,"to prolong, to lengthen",5,,FALSE,FALSE,yán cháng,延长，就是 to prolong。,延长有效期。,,prolong the period of validity,5,30,1,5,,,,,,,,,yáncháng yǒuxiàoqī,2,,
2642,存活,存活,"to survive, to exist",outside,,FALSE,FALSE,cún huó,,,,,5,30,1,6,,Outside HSK,,,,,,,,2,,
2643,改善,改善,"to improve, to make something better",5,30,FALSE,FALSE,gǎi shàn,改善，就是改进。,我们应改善人民生活。,也就是说，我们应该改善人民的生活条件。,We should improve the living conditions of the people.,5,30,1,7,,,,,,,,,wǒmen yīng gǎishàn rénmín shēnghuó,2,,
2644,無意,无意,"accidentally, inadvertently ",outside,30,FALSE,FALSE,wú yì,,,,,5,30,1,8,,Outside HSK,,,,,,,,2,,
2645,巧妙,巧妙,"ingenious, clever",5,30,FALSE,FALSE,qiǎo miào,巧妙，就是聪明。,一个巧妙的计划,也就是“巧妙的计划”。,an ingenious scheme,5,30,1,9,,,,,,,,,yī gè qiǎomiào de jìhuà,2,,
2646,實用,实用,practical,5,,FALSE,FALSE,shí yòng,实用，就是实际的。,他们的研究项目实用价值很有限。,也就是说，他们的研究项目实用性有限。,Their research project has limited practical utility.,5,30,1,10,,,,,,,,,tāmen de yánjiū xiàngmù shíyòngjiàzhí hěn yǒuxiàn,2,,
2647,天敵,天敌,natural enemy,outside,,FALSE,FALSE,tiān dí,,,,,5,30,1,11,,Outside HSK,,,,,,,,2,,
2648,鮎魚,鲇鱼,catfish,outside,,FALSE,FALSE,nián yú,,,,,5,30,1,12,,Outside HSK,,,,,,,,2,,
2649,設備,设备,"(referring to a container in this text) equipment, device",5,30,FALSE,FALSE,shè bèi,设备，就是设备、装置。,这套设备可投入运转了吗？,也就是问，设备运行了吗？,Is the equipment operational yet ?,5,30,1,13,,,,,,,,,zhè tào shèbèi kě tóurù yùnzhuǎn le ma,2,,
2650,和平,和平,peaceful,5,,FALSE,FALSE,hé píng,和平，就是和平的。,鸽子象征和平。,Pigeons symbolize peace.,Pigeons symbolize peace.,5,30,1,14,,,,,,,,,gēzi xiàngzhēng hépíng,2,,Yes
2651,構成,构成,"to compose, to form, to pose",5,,FALSE,FALSE,gòu chéng,构成，就是组成，形成，摆姿势。,心肌是构成心脏的肌肉。,也就是说，心肌是制造心脏的肌肉。,Cardiac muscle is the muscle out of which the heart is made.,5,30,1,15,,,,,,,,,xīnjī shì gòuchéng xīnzàng de jīròu,2,,
2652,逃避,逃避,"to escape, to evade",5,,FALSE,FALSE,táo bì,逃避，就是 to escape。,他是在逃避一切负担和实际问题。,也就是说，他在逃避一切负担和实际问题。,He is evading all burdens and practical problems.,5,30,1,16,,,,,,,,,tā shì zài táobì yīqiè fùdān hé shíjì wèntí,2,,Yes
2653,不斷,不断,"continuously, unceasingly",5,30,TRUE,TRUE,bù duàn,不断，就是一直。,卫生事业不断发展。,也就是说，公共卫生一直进步。,Public health developed continuously.,5,30,1,17,,,,,,,,,wèishēng shìyè bùduàn fāzhǎn,2,,
2654,旺盛,旺盛,"exuberant, vibrant",outside,,FALSE,FALSE,wàng shèng,,,,,5,30,1,18,,Outside HSK,,,,,,,,2,,
2655,比例,比例,"proportion, scale",5,,FALSE,FALSE,bǐ lì,比例，就是比例、比例。,进出口的比例令政府担忧。,也就是说，进出口比例令政府担忧。,The proportion of imports and exports worries the government.,5,30,1,19,,,,,,,,,jìnchūkǒu de bǐlì lìng zhèngfǔ dānyōu,2,,Yes
2656,感想,感想,"impressions, thoughts",5,,FALSE,FALSE,gǎn xiǎng,感想，就是印象、想法。,你对此事有何感想？,也就是问，你对这件事有什么看法？,What are your feelings about this matter?,5,30,1,20,,,,,,,,,nǐ duì cǐ shì yǒu hé gǎnxiǎng,2,,
2657,體會,体会,"feeling, understanding",5,,FALSE,FALSE,tǐ huì,体会，就是感觉，理解。,我们都谈了心得体会。,也就是说，我们都谈到了自己的经历。,We all talked about our experience.,5,30,1,21,,,,,,,,,wǒmen dōu tán le xīndé tǐhuì,2,,Yes
2658,概念,概念,"concept, notion",5,30,FALSE,FALSE,gài niàn,概念，就是 concept。,我对美式料理一点概念也没有。,也就是说，我对美国食物一无所知。,I don't know anything about American food.,5,30,1,22,,,,,,,,,wǒ duì Měishì liàolǐ yīdiǎn gàiniàn yě méiyǒu,2,,
2659,核心,核心,"core, kernel",5,,TRUE,TRUE,hé xīn,核心，就是 core。,政府的核心人士,也就是政府“内部圈子”里的人。,the inner circle of the administration,5,30,1,23,,,,,,,,,zhèngfǔ de héxīn rénshì,2,,
2660,刺激,刺激,"to stimulate, to excite",5,30,FALSE,FALSE,cì jī,刺激，就是 to stimulate。,那场比赛真是精彩刺激。,也就是说，那场比赛真令人兴奋。,That game was really exciting.,5,30,1,24,,,,,,,,,nà chǎng bǐsài zhēnshi jīngcǎi cìjī,2,,Yes
2661,活力,活力,"vigor, vitality",6,,FALSE,FALSE,huó lì,,,,,5,30,1,25,,HSK 6,,,,,,,,2,,
2662,落後,落后,"to fall behind, to lag behind",5,,FALSE,FALSE,luò hòu,落后，就是 to fall behind。,不上进，必落后。,也就是说，不进则退。,He who do not advance fall backward.,5,30,1,26,,,,,,,,,bù shàngjìn bì luòhòu,2,,
2663,本質,本质,"essence, nature, intrinsic quality",5,,FALSE,FALSE,běn zhì,本质，就是本质、自然、内在品质。,谨慎是那人性格的本质。,也就是说，谨慎是那个人性格的本质。,Caution is the essence of that man's character.,5,30,1,27,,,,,,,,,jǐnshèn shì nà rén xìnggé de běnzhì,2,,
2664,員工,员工,"staff, employee",5,,FALSE,FALSE,yuán gōng,员工，就是 staff。,员工福利。,,Staff Welfare,5,30,1,28,,,,,,,,,yuángōng fúlì,2,,
2665,危機,危机,crisis,6,,FALSE,FALSE,wēi jī,,,,,5,30,1,29,,HSK 6,,,,,,,,2,,
2666,有利,有利,"beneficial, advantageous",5,30,FALSE,FALSE,yǒu lì,有利，就是有益的，有利的。,对所有国家都有利的武器限制协议。,也就是说，有利于所有国家的军备限制协定。,an arms limitation agreement beneficial to all countries.,5,30,1,30,,,,,,,,,duì suǒyǒu guójiā dōu yǒulì de wǔqì xiànzhì xiéyì,2,,
2667,挖掘,挖掘,"to dig, to unearth",6,,FALSE,FALSE,wā jué,,,,,5,30,1,31,,HSK 6,,,,,,,,2,,
2668,潛力,潜力,potential,6,,FALSE,FALSE,qián lì,,,,,5,30,1,32,,HSK 6,,,,,,,,2,,
2669,決賽,决赛,"final, final match",5,,FALSE,FALSE,jué sài,决赛，就是 final。,埃弗顿队已进入决赛。,也就是说，埃弗顿已经晋级决赛了。,Everton have got through to the final.,5,30,1,33,,,,,,,,,Āifúdùn duì yǐ jìnrù juésài,2,,
2670,接近,接近,"to approach, to be close to",5,,FALSE,FALSE,jiē jìn,接近，就是 to approach。,我们发现所有的行星都越来越接近太阳。,也就是说，我们发现所有行星都逐渐接近太阳。,We find that all planets progressively approach the sun.,5,30,1,34,,,,,,,,,wǒmen fāxiàn suǒyǒu de xíngxīng dōu yuèláiyuè jiējìn tàiyang,2,,
2671,佳,佳,"good, find",6,,FALSE,FALSE,jiā,,,,,5,30,1,35,,HSK 6,,,,,,,,1,,
2672,的確,的确,"indeed, really",5,,FALSE,FALSE,dí què,的确，就是真的。,的确有人赞赏过我的美貌。,也就是说，我当然也有我的美貌。,I certainly have had my share of beauty.,5,30,1,36,,,,,,,,,díquè yǒurén zànshǎng guò wǒ de měimào,2,,
2673,出口,出口,to export (abroad),5,,FALSE,FALSE,chū kǒu,出口，就是 to export。,黄金出口是禁止的。,也就是说，禁止黄金的出口。,The export / exportation of gold is forbidden.,5,30,扩展,1,,,,,,,,,huángjīn chūkǒu shì jìnzhǐ de,2,,
2674,進口,进口,to import (from abroad),5,,FALSE,FALSE,jìn kǒu,进口，就是 to import。,从日本进口的主要物品是电子产品。,也就是说，电子产品是从日本进口的主要产品。,Electronic products are the major import from Japan.,5,30,扩展,2,,,,,,,,,cóng Rìběn jìnkǒu de zhǔyào wùpǐn shì diànzǐ chǎnpǐn,2,,
2675,貿易,贸易,trading,5,,FALSE,FALSE,mào yì,贸易，就是交易。,去年美俄贸易以谷物为主。,也就是说，谷物去年突显了美俄贸易。,Grain highlighted U.S.-Russian trade last year.,5,30,扩展,3,,,,,,,,,qùnián měi é màoyì yǐ gǔwù wéizhǔ,2,,
2676,談判,谈判,to negotiate,5,,FALSE,FALSE,tán pàn,谈判，就是磋商。,经过长时间的谈判而达成协议。,也就是说，经过长时间的谈判达成了协议。,A settlement was reached after lengthy negotiations.,5,30,扩展,4,,,,,,,,,jīngguò cháng shíjiān de tánpàn ér dáchéngxiéyì,2,,
2677,合同,合同,contract,5,,FALSE,FALSE,hé tong,合同，就是 contract。,此合同无效。,也就是说，本合同无效。,This contract is null and void.,5,30,扩展,5,,,,,,,,,cǐ hétong wúxiào,2,,
2678,中介,中介,"go-between, real estate agent",5,,FALSE,FALSE,zhōng jiè,中介，就是中间人，房地产经纪人。,房地产中介事务所,也就是“房地产经纪人办公室”。,Real Estate Agent's office,5,30,扩展,6,,,,,,,,,fángdìchǎn zhōngjiè shìwùsuǒ,2,,
2679,破產,破产,bankruptcy,5,,FALSE,FALSE,pò chǎn,破产，就是 bankruptcy。,以破产告终,也就是“终致破产”。,culminate in bankruptcy,5,30,扩展,7,,,,,,,,,yǐ pòchǎn gàozhōng,2,,
2680,股票,股票,"stock, shares",5,,FALSE,FALSE,gǔ piào,股票，就是 stock。,股票市场价格涨了两点。,也就是说，证券交易所的价格上涨了两个百分点。,Prices on the stock exchange advanced two points.,5,30,扩展,10,,,,,,,,,gǔpiàoshìchǎng jiàgé zhǎng le liǎng diǎn,2,,
2681,賬戶,账户,account,5,,FALSE,FALSE,zhàng hù,账户，就是解释。,你的账户上余额为五美金。,也就是说，你账户上的余额是五美元。,The balance on your account is five dollars.,5,30,扩展,11,,,,,,,,,nǐ de zhànghù shàng yú'é wéi wǔ Měijīn,2,,Yes
2682,利息,利息,interest,5,,FALSE,FALSE,lì xī,利息，就是兴趣。,利息逐月自然增加。,也就是说，几个月来的利息。,The interest accrued over the months.,5,30,扩展,12,,,,,,,,,lìxī zhúyuè zìrán zēngjiā,2,,
2683,貸款,贷款,loan,5,,FALSE,FALSE,dài kuǎn,贷款，就是 loan。,银行将向他提供一笔贷款。,也就是说，银行将向他提供贷款。,The bank will accommodate him with a loan.,5,30,扩展,13,,,,,,,,,yínháng jiāng xiàng tā tígōng yī bǐ dàikuǎn,2,,
2684,匯率,汇率,exchange rate,5,,FALSE,FALSE,huì lǜ,汇率，就是 exchange rate。,今日汇率如何？,也就是问，今天的兑换是什么？,What is the exchange (i.e. for money) today?,5,30,扩展,14,,,,,,,,,jīnrì huìlǜ rúhé,2,,
